Name,Mileage,Rating,Review Count,Price
2023 Mercedes-Benz EQS 450+ 450,"10,714 mi.",4.0,526.0,74788.0
2023 Mercedes-Benz AMG CLA 45 AMG CLA 45 4MATIC,"7,709 mi.",4.3,352.0,58770.0
2022 Mercedes-Benz AMG CLA 45 Base 4MATIC,"28,446 mi.",4.7,1371.0,53690.0
2023 Mercedes-Benz AMG CLA 35 Base 4MATIC,"4,559 mi.",4.9,2118.0,46900.0
2019 Mercedes-Benz CLS 450 Base,"38,471 mi.",4.8,1094.0,38996.0
2024 Mercedes-Benz GLE 350 Base 4MATIC,"6,110 mi.",4.7,192.0,69306.0
2019 Mercedes-Benz CLS 450 Base 4MATIC,"55,090 mi.",4.6,716.0,39442.0
2024 Mercedes-Benz GLS 580 Base 4MATIC,"8,115 mi.",4.6,483.0,112749.0
2021 Mercedes-Benz AMG CLS 53 4MATIC,"31,574 mi.",4.8,1291.0,57900.0
2023 Mercedes-Benz EQB 250 250 4D Sport Utility,"2,236 mi.",4.7,94.0,49995.0
2022 Mercedes-Benz Maybach S 580 4MATIC,"11,489 mi.",4.7,662.0,153722.0
2023 Mercedes-Benz GLB 250 Base,"7,795 mi.",4.3,352.0,43855.0
2020 Mercedes-Benz GLS 450 Base 4MATIC,"39,881 mi.",0.0,37.0,50563.0
2019 Mercedes-Benz AMG E 63 S 4MATIC,"18,398 mi.",4.7,2931.0,74887.0
2020 Mercedes-Benz GLE 580 4MATIC,"15,029 mi.",4.7,662.0,59413.0
2022 Mercedes-Benz AMG E 53 Base 4MATIC,"9,795 mi.",4.8,2468.0,68983.0
2021 Mercedes-Benz CLS 450 Base 4MATIC,"37,405 mi.",4.2,821.0,46300.0
2019 Mercedes-Benz AMG C 63 S,"32,905 mi.",4.5,344.0,62421.0
2022 Mercedes-Benz AMG G 63 4MATIC,"16,044 mi.",3.0,33.0,198000.0
2020 Mercedes-Benz GLE 350 Base 4MATIC,"58,175 mi.",3.9,1800.0,36900.0
2021 Mercedes-Benz AMG GLE 53 Base,"46,859 mi.",4.5,344.0,62292.0
2019 Mercedes-Benz Sprinter 3500 144 WB ROOF,"69,676 mi.",0.0,50.0,45991.0
2020 Mercedes-Benz AMG E 53 Base 4MATIC,"21,826 mi.",4.8,788.0,50299.0
2019 Mercedes-Benz AMG S 63 Base 4MATIC,"53,331 mi.",4.4,1231.0,98984.0
2023 Mercedes-Benz GLE 450 4MATIC,"15,142 mi.",0.0,15.0,65992.0
2024 Mercedes-Benz GLE 450 Plug-In Hybrid 4MATIC,"3,518 mi.",4.7,244.0,77700.0
2023 Mercedes-Benz GLE 450 4MATIC,"14,929 mi.",0.0,15.0,65514.0
2021 Mercedes-Benz GLS 450 4MATIC,"37,995 mi.",0.0,150.0,54660.0
2021 Mercedes-Benz G-Class G 550 4MATIC,"22,646 mi.",4.5,991.0,143554.0
2020 Mercedes-Benz SL 450 Base,"12,708 mi.",4.7,1948.0,67800.0
2020 Mercedes-Benz GLS 450 Base 4MATIC,"36,526 mi.",4.7,2891.0,54000.0
2020 Mercedes-Benz AMG E 53 Base 4MATIC,"34,707 mi.",4.9,2783.0,57463.0
2021 Mercedes-Benz AMG GT 53 Base,"17,198 mi.",4.3,419.0,84997.0
2023 Mercedes-Benz EQS 450+ 450,"10,625 mi.",4.0,526.0,74377.0
2023 Mercedes-Benz AMG C 43 Base 4MATIC,"4,309 mi.",4.7,1372.0,57900.0
2023 Mercedes-Benz AMG CLA 35 4MATIC,"13,665 mi.",4.7,192.0,49913.0
2016 Mercedes-Benz GL-Class GL 450 4MATIC,"68,216 mi.",4.8,894.0,21082.0
2023 Mercedes-Benz G-Class G 550 4MATIC,"25,277 mi.",4.5,991.0,161775.0
2021 Mercedes-Benz AMG GT 53 Base,"30,865 mi.",4.3,1491.0,79711.0
2017 Mercedes-Benz AMG C 63 S,"46,460 mi.",4.9,4585.0,48500.0
2020 Mercedes-Benz GLS 450 Base 4MATIC,"45,089 mi.",3.9,1800.0,50900.0
2023 Mercedes-Benz Metris Base,145 mi.,0.0,1.0,39950.0
2023 Mercedes-Benz Metris Base,"12,718 mi.",4.6,483.0,54018.0
2021 Mercedes-Benz AMG A 35 Base,"25,449 mi.",4.2,344.0,38963.0
2023 Mercedes-Benz EQS 580 Base 4MATIC,"3,937 mi.",4.9,2166.0,107552.0
2017 Mercedes-Benz SL 550 SL550,"40,531 mi.",4.6,1899.0,50595.0
2021 Mercedes-Benz GLA 250 Base 4MATIC,"30,790 mi.",0.0,1.0,29999.0
2020 Mercedes-Benz AMG E 53 4MATIC,"38,052 mi.",4.3,112.0,47562.0
2022 Mercedes-Benz GLE 350 Base,"37,955 mi.",0.0,15.0,50888.0
2020 Mercedes-Benz AMG S 63 Base 4MATIC,"20,328 mi.",4.8,1735.0,95981.0
2019 Mercedes-Benz AMG GT 63 S 4-Door,"25,850 mi.",4.3,1491.0,98555.0
2024 Mercedes-Benz GLC 300 Base,"2,018 mi.",4.0,526.0,57445.0
2019 Mercedes-Benz AMG GT 63 4-Door,"17,046 mi.",4.9,2516.0,94995.0
2023 Mercedes-Benz GLB 250 Base,"7,577 mi.",4.3,352.0,43105.0
2016 Mercedes-Benz Maybach S S 600,"49,565 mi.",4.5,819.0,55998.0
2018 Mercedes-Benz S-Class S 450,"40,020 mi.",0.0,12.0,41000.0
2023 Mercedes-Benz GLA 250 Base,"4,188 mi.",0.0,150.0,39237.0
2023 Mercedes-Benz E-Class E 350 4MATIC,"10,208 mi.",0.0,28.0,58798.0
2021 Mercedes-Benz A-Class A 220 4MATIC,"12,829 mi.",0.0,79.0,30880.0
2020 Mercedes-Benz A-Class A 220 4MATIC,"48,598 mi.",0.0,0.0,26499.0
2020 Mercedes-Benz GLC 300 Base 4MATIC,"39,165 mi.",5.0,98.0,33497.0
2022 Mercedes-Benz Maybach S 580 4MATIC,"6,488 mi.",4.9,1411.0,177595.0
2016 Mercedes-Benz AMG S AMG S 63 4MATIC,"26,270 mi.",4.5,819.0,69998.0
2024 Mercedes-Benz AMG GLE 63 S,"5,742 mi.",4.3,419.0,120997.0
2020 Mercedes-Benz G-Class G 550 4MATIC,"10,148 mi.",0.0,1.0,142000.0
2023 Mercedes-Benz EQB 250 Base,"7,145 mi.",4.8,1018.0,48000.0
2021 Mercedes-Benz GLS 580 Base 4MATIC,"31,248 mi.",4.6,1018.0,73998.0
2023 Mercedes-Benz GLE 450 4MATIC,"15,151 mi.",0.0,15.0,65444.0
2023 Mercedes-Benz GLE 450 GLE 450,"13,576 mi.",4.8,899.0,69997.0
2020 Mercedes-Benz AMG GT R,"8,198 mi.",4.9,4585.0,157500.0
2023 Mercedes-Benz CLA 250 Base,"6,282 mi.",4.8,1735.0,45705.0
2021 Mercedes-Benz AMG GT 63 4-Door,"12,007 mi.",4.3,1491.0,114750.0
2022 Mercedes-Benz E-Class E 350,"37,992 mi.",4.8,902.0,41948.0
2023 Mercedes-Benz AMG SL 43 4MATIC+,"1,053 mi.",4.7,192.0,99805.0
2023 Mercedes-Benz Metris Base,"1,549 mi.",0.0,1.0,39950.0
2023 Mercedes-Benz AMG GLC 43 4MATIC Coupe,"10,320 mi.",4.7,192.0,67910.0
2023 Mercedes-Benz AMG C 43 Base 4MATIC,"6,889 mi.",4.6,716.0,60312.0
2019 Mercedes-Benz AMG GLE 63 S 4MATIC Coupe,"44,003 mi.",4.3,419.0,58997.0
2020 Mercedes-Benz E-Class 4MATIC,"32,608 mi.",4.8,902.0,35824.0
2023 Mercedes-Benz GLC 300 Base 4MATIC,"3,758 mi.",4.0,377.0,55995.0
2024 Mercedes-Benz GLE 350 Base 4MATIC,"5,538 mi.",0.0,543.0,70991.0
2023 Mercedes-Benz AMG GLE 53 Base,"25,673 mi.",4.7,1371.0,86690.0
2020 Mercedes-Benz GLS 450 Base 4MATIC,"45,089 mi.",3.9,1800.0,50900.0
2023 Mercedes-Benz AMG CLA 35 Base 4MATIC,"10,877 mi.",0.0,15.0,49400.0
2023 Mercedes-Benz EQB 350 4MATIC,"2,336 mi.",3.4,468.0,60994.0
2019 Mercedes-Benz AMG GLC 63 Base 4MATIC,"16,980 mi.",4.5,2057.0,53922.0
2024 Mercedes-Benz GLE 350 Base 4MATIC,"8,213 mi.",4.3,352.0,67585.0
2022 Mercedes-Benz AMG C 43 Base 4MATIC,"7,135 mi.",4.6,716.0,56940.0
2021 Mercedes-Benz GLS 580 Base 4MATIC,"53,509 mi.",4.6,417.0,62704.0
2023 Mercedes-Benz AMG G 63 4MATIC,"6,061 mi.",4.9,274.0,209995.0
2018 Mercedes-Benz SL 450 Base,"18,458 mi.",4.3,443.0,55000.0
2015 Mercedes-Benz S-Class S 550 4MATIC,"69,897 mi.",4.7,1371.0,41690.0
2023 Mercedes-Benz GLB 250 Base,"5,192 mi.",4.9,2166.0,44744.0
2020 Mercedes-Benz SL 450 Base,"8,120 mi.",4.6,981.0,65999.0
2019 Mercedes-Benz AMG GLE 43 Base 4MATIC,"48,608 mi.",4.8,899.0,49983.0
2023 Mercedes-Benz AMG GLE 53 Base,"14,967 mi.",4.7,1371.0,87390.0
2020 Mercedes-Benz Maybach S 650 Base,"35,788 mi.",4.6,585.0,111326.0
2016 Mercedes-Benz AMG S AMG S 63 4MATIC,"19,821 mi.",4.8,1291.0,68500.0
2023 Mercedes-Benz GLE 450 4MATIC,"18,901 mi.",0.0,15.0,67515.0
2022 Mercedes-Benz A-Class A 220 4MATIC,"10,605 mi.",4.6,696.0,33999.0
2020 Mercedes-Benz A-Class A 220 4MATIC,"11,770 mi.",4.8,1354.0,31293.0
2023 Mercedes-Benz GLE 450 GLE 450,"16,147 mi.",4.8,899.0,69997.0
2022 Mercedes-Benz AMG GT 53 Base,"6,149 mi.",4.7,1239.0,99999.0
2024 Mercedes-Benz GLE 450 Plug-In Hybrid Base 4MATIC,"4,354 mi.",3.9,1800.0,78900.0
2021 Mercedes-Benz AMG GLB 35 Base,"53,699 mi.",4.6,266.0,36880.0
2023 Mercedes-Benz GLB 250 Base,"6,419 mi.",4.7,110.0,42499.0
2016 Mercedes-Benz GLC-Class GLC 300,"47,533 mi.",4.6,1018.0,20999.0
2023 Mercedes-Benz Sprinter 2500 Standard Roof,"15,492 mi.",4.8,752.0,74988.0
2020 Mercedes-Benz CLA 250 Base,"48,928 mi.",0.0,1.0,28000.0
2021 Mercedes-Benz A-Class A 220 4MATIC,"45,105 mi.",4.7,316.0,26540.0
2021 Mercedes-Benz AMG GLS 63 Base 4MATIC,"32,001 mi.",4.8,2468.0,94984.0
2023 Mercedes-Benz AMG E 53 Base 4MATIC,"1,847 mi.",4.7,2879.0,86975.0
2023 Mercedes-Benz AMG E 53 4MATIC,"4,389 mi.",4.8,527.0,77000.0
2023 Mercedes-Benz EQB 350 Base 4MATIC,"3,526 mi.",4.7,1372.0,53900.0
2023 Mercedes-Benz AMG GLE 63 S,"13,740 mi.",4.3,419.0,112997.0
2023 Mercedes-Benz C-Class C 300 4MATIC,"4,484 mi.",4.6,696.0,46888.0
2023 Mercedes-Benz GLS 580 4MATIC,"2,505 mi.",4.4,297.0,97397.0
2023 Mercedes-Benz EQB 350 Base 4MATIC,"2,027 mi.",4.7,2308.0,49777.0
2023 Mercedes-Benz CLA 250 Base 4MATIC,"1,264 mi.",0.0,1.0,41200.0
2023 Mercedes-Benz GLB 250 Base,"7,563 mi.",4.6,1915.0,43777.0
2023 Mercedes-Benz AMG E 53 E 53 AMG,"2,435 mi.",0.0,0.0,68398.0
2018 Mercedes-Benz AMG E 63 S 4MATIC,"19,454 mi.",5.0,1502.0,73990.0
2019 Mercedes-Benz AMG E 53 Base 4MATIC,"8,257 mi.",0.0,0.0,49500.0
2023 Mercedes-Benz AMG GLB 35 Base,"3,676 mi.",4.4,2963.0,48846.0
2023 Mercedes-Benz GLB 250 Base 4MATIC,"2,900 mi.",3.9,1800.0,45900.0
2022 Mercedes-Benz AMG GT 53 Base,"1,533 mi.",4.4,2963.0,93888.0
2024 Mercedes-Benz C-Class C 300 4MATIC,"2,195 mi.",4.6,696.0,47222.0
2021 Mercedes-Benz CLA 250 Base 4MATIC,"29,414 mi.",4.2,862.0,33951.0
2020 Mercedes-Benz AMG CLS 53 Base 4MATIC,"29,065 mi.",4.5,344.0,59900.0
2020 Mercedes-Benz GLC 300 Base 4MATIC,"16,340 mi.",4.7,29.0,37650.0
2023 Mercedes-Benz EQE 350+ Base,"5,848 mi.",0.0,15.0,59700.0
2020 Mercedes-Benz GLC 300 Base 4MATIC,"49,726 mi.",4.8,902.0,27412.0
2023 Mercedes-Benz Sprinter 2500 Standard Roof,"31,830 mi.",4.7,662.0,57453.0
2023 Mercedes-Benz GLB 250 Base,"15,393 mi.",4.8,894.0,44196.0
2020 Mercedes-Benz AMG GLC 43 Base 4MATIC,"39,115 mi.",5.0,1502.0,45551.0
2023 Mercedes-Benz GLB 250 Base,"10,827 mi.",4.6,1915.0,39864.0
2022 Mercedes-Benz GLE 350 Base,"72,646 mi.",0.0,15.0,41929.0
2023 Mercedes-Benz GLB 250 Base,"7,633 mi.",4.6,1915.0,44777.0
2021 Mercedes-Benz A-Class A 220 4MATIC,"16,385 mi.",0.0,37.0,30400.0
2021 Mercedes-Benz GLA 250 Base 4MATIC,"23,056 mi.",0.0,150.0,31336.0
2023 Mercedes-Benz AMG GT 53 Base,"2,489 mi.",4.7,1239.0,107999.0
2022 Mercedes-Benz AMG GT 53 Base,"14,344 mi.",4.7,1239.0,89999.0
2022 Mercedes-Benz EQS 580 Base 4MATIC,"6,451 mi.",4.9,2166.0,98444.0
2021 Mercedes-Benz AMG GLS 63 Base 4MATIC,"18,228 mi.",4.8,969.0,99795.0
2023 Mercedes-Benz AMG C 63 S,"5,462 mi.",4.3,1152.0,105999.0
2023 Mercedes-Benz CLA 250 Base 4MATIC,"4,497 mi.",3.9,1800.0,43900.0
2023 Mercedes-Benz C-Class C 300 4MATIC,"5,146 mi.",4.6,696.0,47222.0
2023 Mercedes-Benz GLS 450 4MATIC,"15,581 mi.",4.7,110.0,78899.0
2024 Mercedes-Benz C-Class C 300 4MATIC,"4,140 mi.",4.6,696.0,44222.0
2019 Mercedes-Benz G-Class G 550 4MATIC,"35,705 mi.",4.5,843.0,112498.0
2024 Mercedes-Benz C-Class C 300 4MATIC,"2,355 mi.",4.6,696.0,46888.0
2021 Mercedes-Benz AMG E 53 Base 4MATIC,"29,348 mi.",4.8,2468.0,67983.0
2024 Mercedes-Benz C-Class C 300 4MATIC,"2,333 mi.",4.6,696.0,55089.0
2020 Mercedes-Benz AMG E 53 ,"7,780 mi.",0.0,50.0,68274.0
2021 Mercedes-Benz AMG E 53 Base 4MATIC,"28,718 mi.",4.7,1424.0,76777.0
2023 Mercedes-Benz GLB 250 Base,"6,483 mi.",4.6,1915.0,46777.0
2023 Mercedes-Benz AMG G 63 4MATIC,"6,989 mi.",4.7,557.0,199865.0
2021 Mercedes-Benz AMG G 63 Base,"15,556 mi.",4.7,557.0,178899.0
2023 Mercedes-Benz C-Class C 300 4MATIC,"4,885 mi.",4.6,696.0,43888.0
2023 Mercedes-Benz EQS 580 Base 4MATIC,"7,200 mi.",4.8,788.0,92499.0
2021 Mercedes-Benz AMG GLC 43 Base 4MATIC,"26,280 mi.",4.3,112.0,48998.0
2021 Mercedes-Benz E-Class E 450 4MATIC,"5,696 mi.",4.2,862.0,61991.0
2018 Mercedes-Benz AMG GLE 43 Coupe 4MATIC,"89,199 mi.",4.4,297.0,33797.0
2023 Mercedes-Benz AMG SL 55 Base,892 mi.,4.3,419.0,125997.0
2020 Mercedes-Benz AMG G 63 Base,"35,775 mi.",4.2,821.0,149995.0
2021 Mercedes-Benz A-Class A 220 4MATIC,"14,494 mi.",3.7,113.0,30880.0
2023 Mercedes-Benz GLB 250 Base 4MATIC,"4,108 mi.",3.9,1800.0,46900.0
2019 Mercedes-Benz Maybach S 560 Base 4MATIC,"14,908 mi.",4.8,2059.0,93882.0
2024 Mercedes-Benz GLC 300 Base 4MATIC,"5,674 mi.",4.0,526.0,53445.0
2020 Mercedes-Benz AMG E 53 4MATIC,"30,882 mi.",4.9,2506.0,50754.0
2021 Mercedes-Benz AMG GT 63 4-Door,"45,396 mi.",4.6,5510.0,108337.0
2021 Mercedes-Benz GLC 300 Base,"3,600 mi.",4.0,526.0,38740.0
2023 Mercedes-Benz GLA 250 Base 4MATIC,"11,525 mi.",5.0,98.0,38997.0
2023 Mercedes-Benz GLB 250 Base,"12,603 mi.",4.8,894.0,47721.0
2022 Mercedes-Benz A-Class A 220,"15,069 mi.",4.0,526.0,34600.0
2021 Mercedes-Benz GLB 250 Base,"39,256 mi.",4.4,297.0,29397.0
2024 Mercedes-Benz Maybach GLS 600 4MATIC,"1,661 mi.",3.7,113.0,173880.0
2019 Mercedes-Benz AMG SLC 43 Base,"8,544 mi.",4.7,244.0,48995.0
2024 Mercedes-Benz C-Class C 300 4MATIC,"3,990 mi.",4.6,696.0,50888.0
2021 Mercedes-Benz AMG G 63 Base,"49,180 mi.",4.5,991.0,164882.0
2023 Mercedes-Benz AMG E 63 S 4MATIC,"8,712 mi.",4.9,2166.0,157771.0
2022 Mercedes-Benz AMG GLC 43 4MATIC Coupe,"30,349 mi.",4.9,911.0,58702.0
2022 Mercedes-Benz CLA 250 Base,"9,905 mi.",4.1,522.0,35595.0
2020 Mercedes-Benz AMG E 53 Base 4MATIC,"37,037 mi.",4.8,1905.0,60146.0
2019 Mercedes-Benz AMG S 63 Base 4MATIC,"30,978 mi.",4.7,2931.0,79987.0
2023 Mercedes-Benz C-Class C 300 4MATIC,"3,699 mi.",4.6,696.0,46888.0
2020 Mercedes-Benz AMG E 53 Base 4MATIC,"21,275 mi.",4.7,1424.0,60977.0
2022 Mercedes-Benz GLB 250 Base,"16,300 mi.",4.9,1411.0,36295.0
2022 Mercedes-Benz AMG GT 53 Base,"11,705 mi.",4.8,752.0,85987.0
2023 Mercedes-Benz Maybach GLS 600 4MATIC,"2,767 mi.",3.7,113.0,158880.0
2022 Mercedes-Benz AMG GLE 53 4MATIC,"29,629 mi.",3.8,65.0,65987.0
2020 Mercedes-Benz GLC 300 Base 4MATIC,"42,188 mi.",4.8,184.0,30502.0
2022 Mercedes-Benz GLB 250 Base,"25,426 mi.",4.8,894.0,35887.0
2019 Mercedes-Benz AMG SLC 43 Base,"13,804 mi.",4.0,526.0,49995.0
2022 Mercedes-Benz A-Class 4MATIC,"21,287 mi.",4.8,527.0,35000.0
2020 Mercedes-Benz SL 450 Base,"23,695 mi.",4.6,1276.0,67500.0
2021 Mercedes-Benz AMG C 43 Base 4MATIC,"21,944 mi.",4.7,318.0,45955.0
2021 Mercedes-Benz AMG GT 53 Base,"26,835 mi.",4.8,5398.0,79894.0
2020 Mercedes-Benz SL 450 Base,"23,508 mi.",4.5,501.0,64911.0
2023 Mercedes-Benz AMG GLA 45 Base,"5,936 mi.",4.9,2375.0,54750.0
2023 Mercedes-Benz AMG GLE 63 S-Model 4MATIC,"6,190 mi.",4.8,558.0,108946.0
2020 Mercedes-Benz SL 450 Base,"47,210 mi.",4.5,819.0,58998.0
2021 Mercedes-Benz G-Class G 550 4MATIC,"21,717 mi.",4.8,1354.0,139994.0
2024 Mercedes-Benz C-Class C 300 4MATIC,"3,036 mi.",4.6,696.0,52888.0
2023 Mercedes-Benz GLB 250 Base,"6,695 mi.",4.7,110.0,41069.0
2021 Mercedes-Benz AMG C 63 S,"14,150 mi.",4.6,122.0,79998.0
2024 Mercedes-Benz AMG GT 43 Base,346 mi.,4.5,1050.0,101998.0
2023 Mercedes-Benz AMG SL 55 Base,"3,643 mi.",4.9,848.0,119899.0
2024 Mercedes-Benz GLE 450 Plug-In Hybrid Base 4MATIC,"4,354 mi.",3.9,1800.0,78900.0
2023 Mercedes-Benz EQE 500 4MATIC,"2,454 mi.",4.7,192.0,87902.0
2023 Mercedes-Benz GLB 250 ,"8,859 mi.",4.9,911.0,39955.0
2021 Mercedes-Benz AMG E 53 Base 4MATIC,"39,499 mi.",3.6,1405.0,64992.0
2023 Mercedes-Benz EQE 350 4MATIC,"4,143 mi.",4.7,192.0,77900.0
2023 Mercedes-Benz AMG GLS 63 4MATIC,"7,830 mi.",4.9,322.0,135990.0
2018 Mercedes-Benz GLA 250 Base,"55,945 mi.",4.8,902.0,20657.0
2023 Mercedes-Benz GLA 250 Base 4MATIC,"12,750 mi.",4.8,902.0,37870.0
2023 Mercedes-Benz AMG E 53 E 53 AMG,"1,233 mi.",0.0,0.0,69795.0
2022 Mercedes-Benz S-Class S 500 4MATIC,"10,083 mi.",4.7,1371.0,84690.0
2023 Mercedes-Benz AMG CLA 45 Base 4MATIC,"1,999 mi.",4.8,1354.0,61992.0
2023 Mercedes-Benz EQS 450+ 4MATIC,"7,301 mi.",4.4,654.0,73499.0
2022 Mercedes-Benz E-Class E 350 4MATIC,"17,886 mi.",4.1,522.0,47399.0
2024 Mercedes-Benz AMG GLS 63 Base 4MATIC,"8,227 mi.",4.7,1014.0,130994.0
2019 Mercedes-Benz AMG SLC 43 Base,"23,795 mi.",4.9,2506.0,46519.0
2020 Mercedes-Benz A-Class A 220 4MATIC,"28,875 mi.",4.4,2339.0,29598.0
2022 Mercedes-Benz AMG SL 55 Base,"1,643 mi.",4.8,4576.0,119510.0
2023 Mercedes-Benz CLA 250 Base 4MATIC,"21,258 mi.",4.8,788.0,35878.0
2020 Mercedes-Benz GLE 450 4MATIC,"39,723 mi.",4.7,110.0,46999.0
2021 Mercedes-Benz GLE 350 Base,"23,311 mi.",4.3,352.0,50477.0
2022 Mercedes-Benz Maybach S 580 4MATIC,"39,468 mi.",4.3,1491.0,142106.0
2022 Mercedes-Benz GLB 250 Base,"16,300 mi.",4.9,1411.0,36295.0
2023 Mercedes-Benz Sprinter 2500 Standard Roof,"10,636 mi.",4.8,752.0,52988.0
2019 Mercedes-Benz C-Class C 300,"46,120 mi.",0.0,5.0,24862.0
2021 Mercedes-Benz GLS 450 4MATIC,"37,252 mi.",3.2,98.0,54495.0
2019 Mercedes-Benz AMG GT C,"9,153 mi.",4.5,615.0,86881.0
2023 Mercedes-Benz GLC 300 ,"8,400 mi.",0.0,11.0,46999.0
2017 Mercedes-Benz AMG SLC 43 Base,"56,278 mi.",4.8,295.0,33316.0
2020 Mercedes-Benz GLB 250 Base,"32,012 mi.",4.7,1371.0,32390.0
2022 Mercedes-Benz GLE 350 Base 4MATIC,"27,727 mi.",4.3,352.0,53436.0
2021 Mercedes-Benz GLE 350 Base 4MATIC,"35,534 mi.",4.3,112.0,43497.0
2023 Mercedes-Benz GLS 580 Base 4MATIC,"9,797 mi.",4.1,522.0,98995.0
2020 Mercedes-Benz C-Class C 300,"41,105 mi.",4.5,344.0,28975.0
2023 Mercedes-Benz C-Class 4MATIC Coupe,"4,508 mi.",4.7,110.0,45999.0
2021 Mercedes-Benz AMG GT 43 Base,"13,074 mi.",4.6,1915.0,79876.0
2018 Mercedes-Benz G-Class ,"46,601 mi.",4.8,558.0,81921.0
2021 Mercedes-Benz AMG GLE 63 Base 4MATIC,"37,229 mi.",4.4,654.0,85175.0
2024 Mercedes-Benz GLE 350 Base 4MATIC,"2,287 mi.",4.8,420.0,71998.0
2023 Mercedes-Benz GLB 250 Base 4MATIC,"7,957 mi.",4.6,122.0,48998.0
2018 Mercedes-Benz AMG GT Base,"12,817 mi.",4.6,483.0,80991.0
2023 Mercedes-Benz GLB 250 Base,"18,139 mi.",4.9,911.0,39843.0
2023 Mercedes-Benz EQE 350 4MATIC,"2,133 mi.",4.7,192.0,77802.0
2023 Mercedes-Benz E-Class E 350 4MATIC,"4,138 mi.",3.9,1800.0,57900.0
2019 Mercedes-Benz S-Class 4MATIC,"12,205 mi.",4.0,526.0,74995.0
2023 Mercedes-Benz AMG GLA 45 Base,"6,348 mi.",4.2,821.0,52000.0
2019 Mercedes-Benz AMG SLC 43 Base,"23,016 mi.",4.9,2506.0,45712.0
2023 Mercedes-Benz S-Class 4MATIC,"5,147 mi.",4.0,526.0,106777.0
2023 Mercedes-Benz E-Class E 350 4MATIC,"3,208 mi.",4.4,295.0,57642.0
2019 Mercedes-Benz AMG SLC 43 Base,"18,737 mi.",4.6,5510.0,49999.0
2021 Mercedes-Benz AMG GLA 45 Base,"19,441 mi.",4.7,1424.0,44777.0
2021 Mercedes-Benz AMG CLA 45 AMG CLA 45 4MATIC,"32,076 mi.",4.5,615.0,49881.0
2021 Mercedes-Benz AMG GT C,"16,610 mi.",4.5,775.0,126995.0
2021 Mercedes-Benz GLB 250 Base,"37,968 mi.",4.3,112.0,30955.0
2020 Mercedes-Benz GLC 300 ,"47,672 mi.",0.0,8.0,28990.0
2023 Mercedes-Benz AMG GT 53 AMG GT 53,"4,164 mi.",4.9,977.0,104900.0
2023 Mercedes-Benz E-Class E 350 4MATIC,"5,314 mi.",4.4,295.0,64443.0
2022 Mercedes-Benz A-Class A 220 4MATIC,"9,491 mi.",4.8,752.0,34988.0
2023 Mercedes-Benz AMG GLE 53 4MATIC,"21,501 mi.",4.3,112.0,79997.0
2022 Mercedes-Benz GLE 350 Base 4MATIC,"19,356 mi.",0.0,11.0,58997.0
2020 Mercedes-Benz GLE 350 Base 4MATIC,"49,751 mi.",0.0,60.0,41994.0
2021 Mercedes-Benz Maybach GLS 600 4MATIC,"28,862 mi.",4.8,823.0,127500.0
2019 Mercedes-Benz E-Class E 300,"72,271 mi.",4.7,557.0,27620.0
2024 Mercedes-Benz C-Class C 300,"1,638 mi.",4.6,348.0,44990.0
